图书名,价格,出版年
红楼梦,59.7,1996
活着,20.0,2012
1984,28.0,2010
哈利·波特,498.0,2008
三体全集 : 地球往事三部曲,168.0,2012
百年孤独,39.5,2011
飘,40.0,2000
动物农场,10.0,2007
房思琪的初恋乐园,45.0,2018
三国演义（全二册）,39.5,1998
福尔摩斯探案全集（上中下）,68.0,1981
白夜行,39.5,2013
小王子,22.0,2003
安徒生童话故事集,25.0,1997
天龙八部,96.0,1994
呐喊,0.36,1973
撒哈拉的故事,15.8,2003
悉达多 : 一首印度的诗,32.0,2017
邓小平时代,88.0,2013
杀死一只知更鸟,32.0,2012
明朝那些事儿（1-9） : 限量版,358.2,2009
失踪的孩子 : 那不勒斯四部曲4,62.0,2018
新名字的故事 : 那不勒斯四部曲2,59.0,2017
野草,0.2,1973
沉默的大多数 : 王小波杂文随笔全编,27.0,1997
