图书名,国家,作者,出版社,出品方,副标题,原作名,译者,出版年,图书页数,平装定价,精装定价,丛书,ISBN,评分,评论人数,5星百分比,4星百分比,3星百分比,2星百分比,1星百分比,短评数,综评数,在读读者数,已读读者数,想读读者数,读书笔记数
人生的枷锁,英国,毛姆,上海译文出版社,无,无,Of Human Bondage,张柏然 / 张增健 / 倪俊,2007,672,32.0,0.0,译文名著文库,9787532741731,9.1,31094,0.625,0.309,0.06,0.004,0.001,7971,2106,6018,46936,108567,1850
我们仨,中国,杨绛,生活·读书·新知三联书店,无,无,无,无,2003,165,18.8,0.0,无,9787108018809,8.8,310258,0.516,0.3879999999999999,0.088,0.006,0.002,68104,3595,15555,444939,164920,2609
桶川跟踪狂杀人事件,日本,清水洁,四川人民出版社,后浪 / 后浪文学,无,桶川ストーカー殺人事件,王华懋,2021,328,45.0,0.0,无,9787220118906,9.0,48427,0.591,0.326,0.074,0.0069999999999999,0.002,20875,660,1942,54466,76623,621
看不见的城市,意大利,伊塔洛·卡尔维诺,译林出版社,无,无,Le città invisibili,张密,2012,182,0.0,25.0,卡尔维诺经典,9787544722278,9.0,37392,0.619,0.286,0.081,0.01,0.004,15337,939,4617,45436,68873,2310
受戒,中国,汪曾祺,漓江出版社,无,汪曾祺自选集,无,无,1987,573,3.95,0.0,作家自选集系列,9787540701758,9.4,26972,0.728,0.235,0.033,0.002,0.001,6460,334,1665,57604,67624,137
巨人的陨落,英国,肯·福莱特,江苏凤凰文艺出版社,读客文化,世纪三部曲,Fall of Giants,于大卫,2016,1168,129.8,0.0,读客全球顶级畅销小说文库：肯·福莱特作品,9787539989891,8.9,85315,0.569,0.3429999999999999,0.076,0.008,0.003,26807,10006,12656,106948,151985,1167
海子的诗,中国,海子,人民文学出版社,无,无,无,无,1999,292,15.4,0.0,蓝星诗库,9787020026456,9.0,46531,0.585,0.337,0.071,0.004,0.002,7509,381,4225,145491,74880,306
教父,美国,马里奥·普佐,译林出版社,无,无,The Godfather,周汉林,1997,493,23.3,0.0,名著译林,9787805674278,9.0,40572,0.6409999999999999,0.291,0.063,0.004,0.001,5252,690,2135,74228,49261,146
人生的智慧,德国,叔本华,上海人民出版社,无,无,无,韦启昌,2008,0,28.0,0.0,叔本华系列,9787208081178,9.2,32824,0.679,0.248,0.061,0.0069999999999999,0.005,10000,1037,6758,45981,112088,2071
飞鸟集,印度,罗宾德拉纳德·泰戈尔,哈尔滨出版社,无,无,无,徐翰林,2004,186,16.8,0.0,先知双语经典,9787806992197,8.9,66337,0.568,0.347,0.08,0.004,0.001,7432,369,4599,125578,56337,261
少年凯歌,中国,陈凯歌,人民文学出版社,无,无,无,无,2001,189,10.0,0.0,无,9787020034109,9.3,18188,0.722,0.239,0.031,0.003,0.004,8772,237,1106,24864,45601,886
遥远的向日葵地,中国,李娟,花城出版社,无,无,无,无,2017,258,0.0,38.0,李娟作品系列（花城版）,9787536084469,9.1,33272,0.64,0.309,0.047,0.003,0.001,13884,461,2253,38862,39542,1136
鹿鼎记,中国,金庸,广州出版社 花城出版社,朗声图书,无,无,无,2008,1821,108.0,0.0,金庸作品集（新修版·平装）,9787806553404,8.9,55892,0.584,0.318,0.091,0.006,0.002,6177,456,1203,98198,19976,71
斯通纳,美国,约翰·威廉斯,上海人民出版社,世纪文景,无,Stoner,杨向荣,2016,336,0.0,49.0,约翰·威廉斯在文景,9787208130500,8.8,64664,0.5329999999999999,0.371,0.085,0.008,0.003,27205,1685,5061,94040,126173,2109
茶馆,中国,老舍,人民文学出版社,无,无,无,无,2002,142,9.8,0.0,大学生必读,9787020036509,9.2,33751,0.691,0.2689999999999999,0.038,0.002,0.001,6238,317,806,68929,31460,98
克莱因壶,日本,冈岛二人,化学工业出版社,悦读名品,无,クラインの壷,张舟,2019,299,0.0,48.0,冈岛二人作品,9787122346032,8.9,67270,0.573,0.354,0.066,0.005,0.002,28765,393,1790,90170,107568,204
一间只属于自己的房间,英国,弗吉尼亚·伍尔夫,天津人民出版社,果麦文化,无,A Room of One's Own,周颖琪,2019,149,0.0,45.0,果麦·外国文学经典,9787201151656,9.2,27055,0.67,0.272,0.052,0.005,0.002,12003,1057,2552,31227,51236,1157
陆犯焉识,中国,严歌苓,作家出版社,无,无,无,无,2011,415,35.0,0.0,无,9787506360876,8.9,57661,0.556,0.372,0.066,0.004,0.001,14455,1436,3779,82415,67613,1090
边城,中国,沈从文 / 黄永玉 卓雅 插图.,北岳文艺出版社,无,无,无,无,2002,174,12.0,0.0,沈从文作品(插图本),9787537823425,8.7,230488,0.497,0.409,0.088,0.005,0.001,39978,1787,7316,400325,107151,451
人间草木,中国,汪曾祺,江苏文艺出版社,无,无,无,无,2005,315,20.0,0.0,大家散文文存,9787539921969,9.2,32469,0.6759999999999999,0.281,0.0409999999999999,0.002,0.001,8792,560,4528,47754,70088,531
梦里花落知多少,中国,三毛,北京十月文艺出版社,青马文化,无,无,无,2007,312,0.0,28.0,三毛集,9787530208922,8.8,97936,0.516,0.3829999999999999,0.092,0.006,0.002,11905,799,3277,168691,53878,313
十万个为什么,中国,无,无,无,无,无,无,1962,14,30.0,0.0,无,13024-22,9.2,19878,0.6779999999999999,0.242,0.071,0.005,0.003,3430,122,454,47230,11007,19
额尔古纳河右岸,中国,迟子建,人民文学出版社,无,无,无,无,2019,266,32.0,0.0,茅盾文学奖获奖作品全集（2019版）,9787020139590,9.1,45116,0.667,0.264,0.0579999999999999,0.0069999999999999,0.003,18294,1692,4102,47813,55896,849
西线无战事,德国,埃里希·玛丽亚·雷马克,上海文艺出版社,果麦文化,无,Im Westen nichts Neues,姜乙,2021,256,49.0,0.0,果麦·外国文学经典,9787532178377,9.4,20186,0.755,0.213,0.0289999999999999,0.002,0.001,7934,585,1275,23198,39145,669
时间简史,英国,史蒂芬·霍金,湖南科学技术出版社,无,插图本,A Brief History of Time,许明贤 / 吴忠超,2010,245,45.0,0.0,无,9787535732309,8.9,62526,0.5760000000000001,0.34,0.076,0.005,0.003,12730,677,11291,101725,109103,604
筚路维艰,中国,萧冬连,社会科学文献出版社,无,中国社会主义路径的五次选择,无,无,2014,246,45.0,0.0,无,9787509763247,9.5,15183,0.816,0.155,0.021,0.003,0.005,2886,111,1946,16625,51052,539
金色梦乡,日本,伊坂幸太郎,译林出版社,无,无,ゴールデンスランバー,李彦桦,2010,432,0.0,35.0,乐读文库,9787544713986,9.0,30673,0.6,0.314,0.075,0.009,0.003,9788,984,1622,42085,63696,432
王尔德童话,英国,王尔德,译林出版社,无,无,The tales of Oscar Wilde,王林,2003,129,0.0,6.0,译林少儿文库,9787805676104,9.1,24083,0.636,0.297,0.061,0.004,0.001,5012,733,2168,40952,56268,124
面纱,英国,威廉·萨默塞特·毛姆,江西人民出版社,果麦文化,无,The Painted Veil,于大卫,2016,288,39.8,0.0,果麦·外国文学经典,9787210082835,9.0,39681,0.596,0.341,0.0579999999999999,0.003,0.001,14067,2999,1863,46642,28780,1015
小径分岔的花园,阿根廷,豪·路·博尔赫斯,上海译文出版社,上海译文新文本,无,El jardín de senderos que se bifurcan,王永年,2015,102,23.0,0.0,博尔赫斯全集,9787532762897,8.9,46837,0.586,0.316,0.083,0.011,0.004,19471,505,4851,64422,78793,808
这些人，那些事,中国,吴念真,译林出版社,无,无,无,无,2011,203,28.0,0.0,吴念真作品,9787544717731,8.8,67381,0.474,0.416,0.103,0.006,0.002,24081,776,7162,98444,107562,1306
13 67,中国,陳浩基,皇冠文化出版有限公司,无,陳浩基作品2,无,无,2014,496,350.0,0.0,陳浩基作品,9789573330806,9.1,21818,0.6759999999999999,0.262,0.052,0.0069999999999999,0.003,9765,237,1782,29251,65647,147
昨日的世界,奥地利,斯蒂芬·茨威格,广西师范大学出版社,理想国,一个欧洲人的回忆,Die Welt von,舒昌善 / 孙龙生 / 刘春华 / 戴奎生,2004,350,32.0,0.0,影响过一代人的书,9787563345809,9.3,14693,0.6809999999999999,0.266,0.048,0.004,0.001,3943,903,3174,23234,63358,880
流俗地,马来西亚,黎紫书,北京十月文艺出版社,十月文化,无,无,无,2021,476,0.0,55.0,新经典·黎紫书作品,9787530221280,9.2,20100,0.655,0.289,0.048,0.006,0.002,9712,471,2189,22060,74090,586
