图书名,国家,作者,出版社,出品方,副标题,原作名,译者,出版年,图书页数,平装定价,精装定价,丛书,ISBN,评分,评论人数,5星百分比,4星百分比,3星百分比,2星百分比,1星百分比,短评数,综评数,在读读者数,已读读者数,想读读者数,读书笔记数
倾城之恋,中国,张爱玲,北京十月文艺出版社,青马文化,张爱玲全集01——小说,无,无,2012,326,29.8,0.0,张爱玲全集（2012-2015版）,9787530211168,8.9,40150,0.526,0.396,0.072,0.005,0.001,12125,2074,3111,95692,22204,1664
激荡三十年（上）,中国,吴晓波,中信出版社 浙江人民出版社,无,中国企业1978-2008,无,无,2007,297,35.0,0.0,中国企业史三部曲,9787508607719,8.8,32172,0.506,0.4039999999999999,0.0819999999999999,0.006,0.002,5904,504,4673,46224,46166,637
社会心理学,美国,戴维·迈尔斯,人民邮电出版社,无,（第8版）,无,张智勇 / 乐国安 / 侯玉波 等,2006,504,68.0,0.0,新曲线·心理学丛书,9787115138804,9.0,27129,0.632,0.298,0.062,0.004,0.003,4840,559,15542,49174,222493,1310
天朝的崩溃,中国,茅海建,生活·读书·新知三联书店,无,鸦片战争再研究,无,无,2005,600,32.0,0.0,无,9787108022943,9.2,15196,0.6579999999999999,0.288,0.049,0.003,0.002,3865,718,3010,24181,84134,510
海风中失落的血色馈赠,加拿大,阿利斯泰尔·麦克劳德,上海文艺出版社,99读书人,无,The Lost Salt Gift of Blood,陈以侃,2015,163,20.0,0.0,短经典,9787532156825,9.0,20826,0.599,0.311,0.079,0.009,0.002,8486,355,2631,28509,70757,648
亲密关系,美国,罗兰·米勒 (Rowland S. Miller),人民邮电出版社,无,无,Intimate Relationship,王伟平 译 / 彭凯平 校,2015,540,0.0,138.0,社会心理学精品译丛（十周年纪念版）,9787115390578,9.2,26221,0.7070000000000001,0.236,0.049,0.005,0.003,7751,765,13073,24708,123608,1908
天生有罪,南非,特雷弗·诺亚,北京联合出版公司,未读,特雷弗·诺亚的变色人生,Born a,董帅,2018,304,58.0,0.0,无,9787559614056,9.0,20675,0.612,0.327,0.055,0.004,0.002,8353,543,1391,23922,39454,572
雕刻时光,俄罗斯,安德烈·塔可夫斯基,南海出版公司,新经典文化,无,ЗАПЕЧАТЛЕННОЕ ВРЕМЯ,张晓东,2016,263,0.0,45.0,电影人,9787544278591,9.5,9269,0.768,0.1939999999999999,0.033,0.004,0.002,3579,144,2163,11545,42250,711
一桩事先张扬的凶杀案,哥伦比亚,加西亚·马尔克斯,南海出版公司,新经典文化,无,Crónica de una muerte anunciada,魏然,2013,128,0.0,25.0,新经典文库：加西亚·马尔克斯作品,9787544266123,8.7,52057,0.492,0.409,0.09,0.006,0.002,18658,466,1768,68078,73081,683
东晋门阀政治,中国,田余庆,北京大学出版社,无,无,无,无,2012,348,0.0,49.0,博雅英华,9787301204351,9.5,13173,0.8009999999999999,0.165,0.0289999999999999,0.003,0.002,4118,261,3571,14662,76120,421
情书,日本,岩井俊二,天津人民出版社,新经典文化,无,ラヴレター,穆晓芳,2004,256,18.0,0.0,新经典文库·岩井俊二作品,9787201048161,8.6,107478,0.496,0.384,0.111,0.0069999999999999,0.001,20234,1064,2178,163585,77812,254
从零开始的女性主义,日本,上野千鹤子 / 田房永子,北京联合出版公司,明室Lucida,无,上野先生、フェミニズムについてゼロから教えてください！,吕灵芝,2021,192,52.0,0.0,明室 · 上野千鹤子作品系列,9787559652317,8.7,67713,0.507,0.385,0.094,0.009,0.005,29494,865,5835,78122,105387,2196
万物有灵且美,英国,吉米·哈利,中国城市出版社,无,无,All Things Bright and Beautiful,种衍伦,2010,298,28.8,0.0,吉米·哈利“万物”系列,9787507421774,8.9,23233,0.536,0.355,0.093,0.008,0.0069999999999999,8687,550,3378,32809,142914,278
李光耀观天下,新加坡,李光耀,北京大学出版社,无,无,李光耀观天下,无,2015,299,58.0,0.0,无,9787301257517,9.2,13687,0.6659999999999999,0.284,0.044,0.003,0.002,5246,295,1352,15274,24906,227
罗生门,日本,芥川龙之介,上海译文出版社,无,无,羅生門,林少华,2008,189,12.0,0.0,译文名著文库,9787532744756,8.7,70723,0.484,0.406,0.103,0.006,0.002,11556,2202,5770,151022,83149,629
浮生六记,中国,沈复,人民文学出版社,无,无,无,无,1999,80,38.0,0.0,中国小说史料丛书,9787020028313,8.7,71033,0.473,0.4029999999999999,0.111,0.01,0.004,16641,1956,10237,123958,82950,483
荒原狼,德国,赫尔曼·黑塞,上海译文出版社,无,无,无,赵登荣 / 倪诚恩,2008,193,13.0,0.0,译文名著文库,9787532744800,9.0,23517,0.613,0.305,0.072,0.0069999999999999,0.003,6890,1677,3220,34116,63423,741
尼罗河上的惨案,英国,阿加莎·克里斯蒂,人民文学出版社,99读书人,无,Death on the Nile,宫英海,2006,345,22.0,0.0,阿加莎·克里斯蒂侦探推理系列,9787020056088,8.7,50086,0.493,0.423,0.08,0.003,0.001,7902,434,1054,130445,67436,107
父权制与资本主义,日本,上野千鹤子,浙江大学出版社,绿林社 / 能见度,无,家父长制と资本制 ― マルクス主义フェミニズムの地平,邹韵 / 薛梅,2020,281,0.0,58.0,新·全球文明史译丛,9787308197380,9.2,17976,0.6779999999999999,0.26,0.045,0.0069999999999999,0.01,6461,294,7221,19647,110195,1847
送你一颗子弹,中国,刘瑜,上海三联书店,无,无,无,无,2010,339,25.0,0.0,刘瑜作品系列,9787542631664,8.6,143787,0.4529999999999999,0.4039999999999999,0.122,0.015,0.006,39447,1404,17972,185206,154472,11739
当呼吸化为空气,美国,保罗·卡拉尼什,浙江文艺出版社,猫头鹰文化,无,When Breath Becomes Air,何雨珈,2016,256,0.0,48.0,无,9787533946562,8.9,29416,0.561,0.35,0.0819999999999999,0.006,0.001,10954,861,2070,39302,52086,829
在细雨中呼喊,中国,余华,作家出版社,无,无,无,无,2012,283,25.0,0.0,余华作品（2012版）,9787506365604,8.8,72996,0.527,0.389,0.077,0.005,0.002,21483,1271,3847,89523,46945,1080
倚天屠龙记,中国,金庸,生活·读书·新知三联书店,无,无,无,无,1999,1335,47.0,0.0,金庸作品集（三联口袋本）,9787108012692,8.7,62212,0.531,0.374,0.088,0.005,0.002,8262,941,866,119308,18165,272
雷雨,中国,曹禺,人民文学出版社,无,无,无,无,1999,188,9.2,0.0,中国现代名剧丛书,9787020018567,8.7,79448,0.491,0.413,0.091,0.005,0.001,10580,408,907,153305,29898,83
一千零一夜,中国,无,无,无,无,The Arabian,纳训,2003,560,22.0,0.0,名著名译插图本,9787020040346,8.8,59365,0.531,0.375,0.087,0.005,0.002,5836,145,956,173397,22316,15
理想国,希腊,柏拉图,商务印书馆,无,无,Πολιτεία,郭斌和 / 张竹明,1986,458,28.0,0.0,汉译世界学术名著丛书·哲学,9787100017565,8.8,37399,0.561,0.3379999999999999,0.088,0.009,0.004,8375,845,11674,79760,123966,1355
九州·缥缈录,中国,江南,新世界出版社,无,无,无,无,2005,249,20.0,0.0,九州书系,9787801876942,8.8,31850,0.551,0.335,0.099,0.009,0.005,6222,230,1480,66240,28372,51
水浒传（全二册）,中国,罗贯中 / 施耐庵,人民文学出版社,无,无,无,无,1997,1314,50.6,0.0,中国古典文学读本丛书,9787020008742,8.7,78318,0.5589999999999999,0.3339999999999999,0.094,0.009,0.004,9499,899,2914,149658,18935,493
孩子你慢慢来,中国,龙应台,生活·读书·新知三联书店,无,无,无,无,2009,138,28.0,0.0,龙应台作品精选,9787108033635,8.7,79907,0.4479999999999999,0.424,0.115,0.008,0.005,15704,914,2934,165385,54355,725
银河系漫游指南,英国,道格拉斯·亚当斯,四川科学技术出版社,科幻世界,无,The Hitchhiker's Guide to the Galaxy,徐百柯,2005,191,16.0,0.0,世界科幻大师丛书,9787536457577,8.8,22548,0.537,0.335,0.1119999999999999,0.011,0.004,5768,273,2225,34343,63415,126
孙子兵法,中国,孙武,上海古籍出版社,无,无,无,郭化若,2006,175,20.0,0.0,无,9787532544400,9.4,13678,0.7759999999999999,0.182,0.038,0.002,0.002,2276,196,2303,26917,30079,153
雨季不再来,中国,三毛,北京十月文艺出版社,青马文化,无,无,无,2007,294,0.0,28.0,三毛集,9787530208960,8.7,55469,0.512,0.391,0.092,0.005,0.001,6193,447,1757,96650,32316,288
银河帝国：基地七部曲,美国,艾萨克·阿西莫夫,江苏凤凰文艺出版社,读客文化,百万册纪念版,无,叶李华,2015,2888,328.0,0.0,读客外国小说文库：艾萨克·阿西莫夫作品,9787539983356,9.5,15963,0.778,0.182,0.033,0.004,0.002,3298,110,4019,22043,51394,87
现代艺术150年,英国,威尔·贡培兹,广西师范大学出版社,理想国,一个未完成的故事,What Are You Looking,王烁 / 王同乐,2017,532,65.0,0.0,无,9787549586646,9.1,14855,0.6409999999999999,0.31,0.045,0.003,0.001,4735,155,5786,17087,59327,1099
渴望生活,美国,欧文·斯通,北京十月文艺出版社,新经典文化,梵高传,Lust for Life,常涛,2008,525,29.8,0.0,无,9787530209127,9.1,11849,0.644,0.281,0.067,0.006,0.003,2977,642,1874,20349,34129,451
庄子,中国,孙通海 译注 / 方勇 译注,中华书局,无,无,无,方勇 译注,2007,389,0.0,20.0,中华经典藏书,9787101055207,9.4,12029,0.7879999999999999,0.1689999999999999,0.036,0.003,0.003,2052,312,3011,24041,27472,253
最好的我们,中国,八月长安,湖南文艺出版社,博集天卷,无,流水混账,无,2013,560,0.0,55.0,“振华”系列,9787540462642,8.7,72763,0.535,0.36,0.095,0.0069999999999999,0.003,17980,768,1161,153087,38328,406
骆驼祥子,中国,老舍,人民文学出版社,无,无,无,无,1962,224,12.0,0.0,无,9787020028115,8.6,209028,0.472,0.445,0.079,0.003,0.001,28274,1558,2591,437895,45249,562
你一生的故事,美国,特德·姜,译林出版社,无,特德·姜科幻小说集,Stories of Your Life and Others,李克勤 / 王荣生 / 姚向辉,2015,292,0.0,36.0,译林幻系列,9787544752473,8.8,36577,0.512,0.376,0.1,0.009,0.003,13328,837,4307,47111,94452,615
野火集,中国,龙应台,文汇出版社,无,二十年纪念版,无,无,2005,252,25.0,0.0,龙应台作品系列,9787806767245,8.7,35254,0.483,0.395,0.105,0.009,0.008,6279,629,2995,83186,42824,437
不存在的骑士,意大利,伊塔洛·卡尔维诺,译林出版社,无,无,Il Cavaliere Inesistente,吴正仪,2012,138,0.0,22.0,卡尔维诺经典,9787544722797,8.9,25066,0.544,0.381,0.071,0.003,0.001,8174,288,1097,35523,31266,670
论语,中国,无,无,无,无,无,刘胜利,2006,191,9.8,0.0,无,9787101054187,9.1,24170,0.688,0.2269999999999999,0.061,0.01,0.015,3767,477,2462,69449,21049,375
明亮的夜晚,韩国,崔恩荣,台海出版社,磨铁·大鱼读品,无,밝은 밤,叶蕾,2023,296,52.0,0.0,无,9787516835265,9.0,22075,0.63,0.299,0.063,0.006,0.002,10725,294,1298,23456,49842,377
显微镜下的大明,中国,马伯庸,湖南文艺出版社,博集天卷,无,无,无,2019,344,52.0,0.0,博集天卷·马伯庸作品,9787540488475,8.7,45219,0.487,0.435,0.072,0.005,0.002,17073,616,5540,48918,51630,655
会饮篇,希腊,柏拉图,商务印书馆,无,无,Συμπόσιον,王太庆,2013,84,12.0,0.0,汉译世界学术名著丛书·哲学,9787100094016,9.3,11757,0.7190000000000001,0.237,0.039,0.003,0.002,4589,240,963,15900,22217,289
你好，旧时光（上 下）,中国,八月长安,新世界出版社,新华先锋,无,玛丽苏病例报告,无,2009,533,39.8,0.0,无,9787510407109,8.7,49470,0.5379999999999999,0.3229999999999999,0.119,0.0139999999999999,0.006,12477,1487,3964,91090,48838,582
时间的秩序,意大利,卡洛·罗韦利,湖南科学技术出版社,企鹅兰登中国 / 博集天卷,无,The Order of Time,杨光,2019,183,0.0,56.0,卡洛·罗韦利诗意科普系列,9787571001636,8.9,22223,0.545,0.356,0.087,0.009,0.004,9691,408,4079,25499,126187,1016
帷幕,英国,阿加莎·克里斯蒂,新星出版社,无,阿加莎·克里斯蒂作品33,,李杨,2015,220,26.0,0.0,午夜文库·大师系列：阿加莎·克里斯蒂作品,9787513317153,9.1,16223,0.674,0.27,0.051,0.004,0.001,6691,176,347,19122,16524,113
枪炮、病菌与钢铁,美国,贾雷德·戴蒙德,上海译文出版社,无,人类社会的命运,"Guns, Germs and",谢延光,2006,460,45.0,0.0,世纪人文系列丛书·开放人文,9787532739233,8.7,52027,0.491,0.381,0.109,0.015,0.005,14567,1480,15991,70154,151941,1962
足利女童连续失踪事件,日本,清水洁,文汇出版社,新经典文化,无,殺人犯はそこにいる——隠蔽された北関東連続幼女誘拐殺人事件,曾玉婷,2022,315,49.0,0.0,无,9787549637317,9.0,22366,0.574,0.353,0.067,0.005,0.001,10003,248,1006,24721,40976,314
跨越边界的社区（修订版）,中国,项飙,生活·读书·新知三联书店,无,北京“浙江村”的生活史,无,无,2018,560,68.0,0.0,中国社会学经典文库,9787807681885,9.4,9694,0.763,0.209,0.024,0.003,0.001,3706,212,3183,10281,60294,563
二手时间,白俄罗斯,S. A. 阿列克谢耶维奇,中信出版社,无,无,Время секонд хэнд,吕宁思,2016,592,55.0,0.0,S. A. 阿列克谢耶维奇作品集,9787508658346,8.9,25156,0.5489999999999999,0.351,0.086,0.01,0.004,9528,463,7335,32207,108974,2082
坟,中国,鲁迅,人民文学出版社,无,无,无,无,2006,302,16.0,0.0,鲁迅作品单行本（人文社2006版）,9787020058358,9.6,12120,0.8320000000000001,0.148,0.018,0.001,0.001,1901,90,588,20498,15581,417
分成两半的子爵,意大利,伊塔洛·卡尔维诺,译林出版社,无,无,Il visconte dimezzato,吴正仪,2012,104,0.0,20.0,卡尔维诺经典,9787544722346,8.8,28462,0.504,0.423,0.069,0.003,0.001,9421,310,755,35382,22023,687
象棋的故事,奥地利,斯蒂芬·茨威格,上海译文出版社,无,无,无,张玉书,2007,387,23.0,0.0,斯蒂芬·茨威格作品集,9787532741601,9.1,13025,0.644,0.3,0.052,0.003,0.001,3046,177,614,22449,27706,75
上学记,中国,何兆武 / 文靖,生活·读书·新知三联书店,无,无,无,无,2006,287,19.8,0.0,无,9787108025104,8.9,14129,0.55,0.37,0.075,0.003,0.001,3751,588,1347,23670,33029,457
火星救援,美国,安迪·威尔,译林出版社,无,无,The Martian,陈灼,2015,428,38.0,0.0,译林幻系列,9787544757225,8.9,20278,0.5529999999999999,0.365,0.074,0.006,0.002,7200,217,1036,31260,30725,133
规训与惩罚,法国,米歇尔·福柯,生活·读书·新知三联书店,无,监狱的诞生,Surveiller et punir,刘北成 / 杨远婴,2003,377,21.8,0.0,学术前沿,9787108017949,9.3,10980,0.715,0.24,0.04,0.003,0.002,2759,290,3707,17544,73391,532
顾城的诗,中国,顾城,人民文学出版社,无,无,无,无,1998,403,20.0,0.0,蓝星诗库,9787020025862,8.8,26531,0.511,0.38,0.099,0.006,0.004,4031,153,2005,49335,28864,146
解忧杂货店,日本,东野圭吾,南海出版公司,新经典文化,无,ナミヤ雑貨店の奇蹟,李盈春,2014,291,0.0,39.5,新经典文库·东野圭吾作品,9787544270878,8.5,759651,0.483,0.3939999999999999,0.111,0.01,0.002,183240,6439,23347,940195,259629,2946
命运,中国,蔡崇达,浙江文艺出版社 / 广州出版社,果麦文化,无,无,无,2022,368,0.0,59.8,无,9787533969608,8.9,26463,0.652,0.257,0.068,0.015,0.0069999999999999,11481,611,1907,27922,42310,819
哈姆莱特,英国,莎士比亚,人民文学出版社,无,无,Hamlet,朱生豪,2001,125,7.0,0.0,大学生必读,9787020035946,8.7,50421,0.511,0.392,0.092,0.004,0.001,4999,444,880,95774,31154,160
毛姆短篇小说精选集,英国,威廉·萨默塞特·毛姆,译林出版社,无,无,无,冯亦代 / 傅惟慈 / 陆谷孙 / 冯涛,2012,477,0.0,36.0,无,9787544728669,9.1,12738,0.619,0.321,0.053,0.005,0.002,3807,146,2735,23441,44308,669
众病之王,美国,悉达多·穆克吉,中信出版社,无,癌症传,The Emperor of All,李虎,2013,525,42.0,0.0,无,9787508638119,9.0,13383,0.612,0.297,0.077,0.01,0.004,5096,389,2821,19856,65622,810
认识电影,美国,路易斯·贾内梯 / (瑞典) 英格玛·伯格曼 (日) 黑泽明 等供图,世界图书出版公司,后浪,插图第11版,无,焦雄屏,2007,484,68.0,0.0,后浪电影学院,9787506287081,8.9,18613,0.55,0.375,0.069,0.004,0.002,4057,192,7044,38309,82854,599
黑箱：日本之耻,日本,伊藤诗织,雅众文化/中信出版集团,雅众文化 / 中信·无界,无,Black Box,匡匡,2019,223,48.0,0.0,雅众·纪实,9787521702224,8.9,23107,0.512,0.406,0.074,0.005,0.002,9750,364,1074,27197,38693,505
金锁记,中国,张爱玲,哈尔滨出版社,无,无,无,无,2005,172,13.5,0.0,无,9788781074519,8.6,63128,0.467,0.432,0.0969999999999999,0.003,0.001,11342,438,1137,111713,46706,207
挽救计划,美国,安迪·威尔,译林出版社,企鹅兰登中国,无,Project Hail Mary,耿辉,2021,493,68.0,0.0,译林幻系列,9787544787352,9.1,12079,0.6659999999999999,0.275,0.051,0.006,0.001,6013,169,890,12781,34362,89
奥斯维辛,英国,劳伦斯·里斯,广西师范大学出版社,理想国,一部历史,,刘爽,2016,324,0.0,79.0,理想国译丛,9787549585489,9.5,9785,0.767,0.205,0.024,0.002,0.002,3730,192,1366,10707,36911,540
包法利夫人,法国,福楼拜,人民文学出版社,无,无,无,李健吾,2003,302,0.0,28.0,名著名译丛书,9787020104499,9.1,22657,0.603,0.3279999999999999,0.062,0.005,0.002,9018,1791,2123,36194,29585,825
总统是靠不住的,中国,林达,生活·读书·新知三联书店,无,近距离看美国之二,无,无,2004,428,21.8,0.0,林达作品系列,9787108011367,8.8,21121,0.498,0.405,0.088,0.006,0.002,4360,242,2226,31721,32620,575
