图书名,价格,出版年,国家,作者,出版社,评分,评论数,主题评论
骆驼祥子,12.0,1962,中国,老舍,人民文学出版社,8.6,209030,旧中国老北京贫苦市民的典型命运
你一生的故事 : 特德·姜科幻小说集 Stories of Your Life and Others,36.0,2015,美, 特德·姜,译林出版社,8.8,36577,特德·姜科幻小说集
野火集 : 二十年纪念版,25.0,2005,中国,龙应台,文汇出版社,8.7,35254,中国人，你为什么不生气
不存在的骑士 Il Cavaliere Inesistente,22.0,2012,意, 伊塔洛·卡尔维诺,译林出版社,8.9,25066,无
论语,9.8,2006,中国,刘胜利,中华书局,9.1,24170,仁远乎哉？我欲仁，斯仁至矣
明亮的夜晚 밝은 밤,52,2023,韩,崔恩荣,台海出版社,9.0,22091,无
显微镜下的大明,52.0,2019,中国,马伯庸,湖南文艺出版社,8.7,45224,无
会饮篇 Συμπόσιον,12.0,2013,古希腊, 柏拉图,商务印书馆,9.3,11759,无
你好，旧时光（上 下） 玛丽苏病例报告,39.8,2009,中国,八月长安,新世界出版社,8.7,49470,原作名切题
时间的秩序 The Order of Time,56.0,2019,意, 卡洛·罗韦利,湖南科学技术出版社,8.9,22225,无
帷幕 : 阿加莎·克里斯蒂作品33 Curtain: Poirot's Last Case,26.0,2015,英,阿加莎·克里斯蒂,新星出版社,9.1,16223,无
"枪炮、病菌与钢铁 : 人类社会的命运 Guns, Germs and Steel: The Fates of Human Societies",45.0,2006,美, 贾雷德·戴蒙德,上海译文出版社,8.7,52027,人类社会的命运
足利女童连续失踪事件 殺人犯はそこにいる——隠蔽された北関東連続幼女誘拐殺人事件,49.0,2022,日, 清水洁,文汇出版社,9.0,22368,无
跨越边界的社区（修订版） : 北京“浙江村”的生活史,68.0,2018,中国,项飙,生活·读书·新知三联书店,9.4,9694,无
二手时间 Время секонд хэнд,55.0,2016,白俄, S. A. 阿列克谢耶维奇,中信出版社,8.9,25158,用最为细小的马赛克拼出了一幅完整的后苏联时代图景
坟,16.0,2006,中国,鲁迅,人民文学出版社,9.6,12121,无
分成两半的子爵 Il visconte dimezzato,20.0,2012,意, 伊塔洛·卡尔维诺,译林出版社,8.8,28462,无
象棋的故事,23.0,2007,奥, 斯蒂芬·茨威格,上海译文出版社,9.1,13025,纳粹法西斯对人心灵的折磨及摧残
上学记,19.8,2006,中国,何兆武 口述,生活·读书·新知三联书店,8.9,14129,20世纪中国知识分子的心灵史
火星救援 The Martian,38.0,2015,美, 安迪·威尔,译林出版社,8.9,20279,跟火星来一场不是你死就是我活的过家家游戏
规训与惩罚 : 监狱的诞生 Surveiller et punir,21.8,2003,法, 米歇尔·福柯,生活·读书·新知三联书店,9.3,10982,伴随着惩罚的人性化，自由反而日益丧失了
顾城的诗,20.0,1998,中国,顾城,人民文学出版社,8.8,26532,火焰是我们诗歌唯一的读者
解忧杂货店 ナミヤ雑貨店の奇蹟,39.5,2014,日, 东野圭吾,南海出版公司,8.5,759657,现代人内心流失的东西，这家杂货店能帮你找回
命运,59.8,2022,中国,蔡崇达,浙江文艺出版社,8.9,26465,无
哈姆莱特 Hamlet,7.0,2001,英, 莎士比亚,人民文学出版社,8.7,50422,生存还是毁灭，这是一个值得思考的问题
毛姆短篇小说精选集,36.0,2012,英, 威廉·萨默塞特·毛姆,译林出版社,9.1,12738,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧
众病之王 : 癌症传 The Emperor of All Maladies: A Biography of Cancer,42.0,2013,美, 悉达多·穆克吉,中信出版社,9.0,13385,癌症传
认识电影 : 插图第11版,68.0,2007,美, 路易斯·贾内梯,世界图书出版公司,8.9,18613,电影入门经典之作
黑箱：日本之耻 Black Box,48.0,2019,日, 伊藤诗织,中信出版集团,8.9,23107,无
金锁记,13.5,2005,中国,张爱玲,哈尔滨出版社,8.6,63129,一个小商人家庭出身的女子曹七巧的心灵变迁历程
挽救计划 Project Hail Mary,68.0,2021,美, 安迪·威尔,译林出版社,9.1,12079,无
奥斯维辛 : 一部历史 Auschwitz: A New History,79.0,2016,英, 劳伦斯·里斯,广西师范大学出版社,9.5,9788,无
包法利夫人,28.0,2003,中国,福楼拜,人民文学出版社,9.1,22661,无
总统是靠不住的 : 近距离看美国之二,21.8,2004,中国,林达,生活·读书·新知三联书店,8.8,21122,美国政治法律制度的基本原理和操作细节
