图书名,价格,出版年,国家,作者,出版社,评分,评论数,主题评论
朝花夕拾,0.25,1973,中国,鲁迅,人民文学出版社,9.1,155088,在纷扰中寻出一点闲静
月亮和六便士 The Moon and Sixpence,15.0,2006,英, 毛姆,上海译文出版社,9.0,209675,有多少人会经历顿悟，就有更少的人甘愿自我放逐
厌女 : 日本的女性嫌恶 女ぎらい,28.0,2015,中国,上野千鹤子,上海三联书店,9.1,81917,无
秋园,38.0,2020,中国,杨本芬,北京联合出版公司,9.0,108161,无
射雕英雄传,47.0,1999,中国,金庸,生活·读书·新知三联书店,9.1,85758,侠之大者，为国为民
置身事内 : 中国政府与经济发展,65.0,2021,中国,兰小欢,上海人民出版社,9.1,80000,无
追风筝的人 The Kite Runner,29.0,2006,美, 卡勒德·胡赛尼,上海人民出版社,8.9,794995,为你，千千万万遍
刀锋 The Razor's Edge,18.0,2007,英,毛姆,上海译文出版社,9.0,91960,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
寻路中国 : 从乡村到工厂的自驾之旅 Country Driving: A Journey Through China from Farm to Factory,33.0,2011,美, 彼得·海斯勒,上海译文出版社,9.0,56951,《纽约客》驻北京记者驾车漫游中国大陆的经历
树上的男爵 Il barone rampante,30.0,2012,意大利,伊塔洛·卡尔维诺,译林出版社,9.1,60384,是不是真的只有先与人疏离，才能最终与他们在一起？
无人生还 And Then There Were None,19.0,2008,英, 阿加莎・克里斯蒂,人民文学出版社,9.0,150317,童谣杀人案
格林童话全集 Kinder-und Hausmärchen,21.45,1994,德国,格林兄弟,人民文学出版社,9.0,95593,一本有教育意义的书
中国少年儿童百科全书（全四册）,168.0,1991,中国,林崇德 主编,浙江教育出版社,9.4,18679,无
鼠疫 La Peste,34.0,2013,法, 阿尔贝·加缪,上海译文出版社,9.1,79337,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
嫌疑人X的献身 容疑者Xの献身,28.0,2008,日, 东野圭吾,南海出版公司,8.9,524259,数学好是一种极致的浪漫
西游记（全二册）,47.2,2004,中国,吴承恩,人民文学出版社,9.1,88960,神魔皆有人情，精魅亦通世故
黄金时代 : 时代三部曲,19.0,1999,中国,王小波,花城出版社,8.9,166810,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
可能性的艺术 : 比较政治学30讲,82.0,2022,中国,刘瑜,广西师范大学出版社,9.2,40863,无
史记（全十册） : （全十册）,125.0,1982,中国,司马迁,中华书局,9.5,24956,史家之绝唱，无韵之离骚
傲慢与偏见 Pride and Prejudice,13.0,1993,英, 奥斯丁,人民文学出版社,8.9,233310,所有现代言情小说的母体
始于极限 : 女性主义往复书简 往復書簡 限界から始まる,59,2022,日, 上野千鹤子,新星出版社,9.0,71403,无
悲惨世界（上中下） Les Misérables,66.0,1992,法, 雨果,人民文学出版社,9.1,63894,现实主义与浪漫主义的至高杰作
台北人,38.0,2010,中国,白先勇,广西师范大学出版社,9.0,73763,白先勇短篇小说集
诗经,19.9,2006,中国,孔丘 编订,北京出版社,9.5,28820,思无邪
永恒的终结 : 关于时间旅行的终极奥秘和恢宏构想 The End of Eternity,32.0,2014,美, 艾萨克·阿西莫夫,江苏凤凰文艺出版社,9.1,47412,关于时间旅行的终极奥秘和恢宏构想
孽子,46.0,2010,中国,白先勇,广西师范大学出版社,9.2,47650,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
刘擎西方现代思想讲义,79.0,2021,中国,刘擎,新星出版社,9.2,36472,无
历史深处的忧虑 : 近距离看美国之一,19.0,1997,中国,林达,生活·读书·新知三联书店,9.0,45903,窥见美国社会的一扇窗
太白金星有点烦,45.0,2023,中国,马伯庸,湖南文艺出版社,9.0,85501,无
神雕侠侣 神鵰俠侶,76.8,1996,中国,金庸,生活·读书·新知三联书店,8.9,101297,至情至性，情大于武
